id,winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
2,Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0
3,Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0
4,Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0
5,Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0
6,Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0
7,Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0
8,Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0
9,Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0
10,Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0
47,Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,239.5,Ribera Del Duero Red,5.0,3.0
48,Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,175.5,Ribera Del Duero Red,5.0,3.0
49,Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,194.0,Ribera Del Duero Red,5.0,3.0
50,Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,381.15,Ribera Del Duero Red,5.0,3.0
51,Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,584.43,Ribera Del Duero Red,5.0,3.0
52,Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,555.2,Ribera Del Duero Red,5.0,3.0
53,Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,445.28,Ribera Del Duero Red,5.0,3.0
54,Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,189.0,Ribera Del Duero Red,5.0,3.0
55,Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,362.25,Ribera Del Duero Red,5.0,3.0
